federal state,County town,Companies,Name,road,Postal code,place,Internet,E-Mail,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,,summer opening times (hours by week),Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,,Winter opening times (hours by week),Remarks,longitute,latitude
,,,,,,,,,From,To,duration,From,To,duration,From,To,duration,From,To,duration,From,To,duration,From,To,duration,,From,To,duration,From,To,duration,From,To,duration,From,To,duration,From,To,duration,From,To,duration,,,,
Nordrhein-Westfalen,Düsseldorf,AWISTA Gesellschaft für Abfallwirtschaft und Stadtreinigung mbH,Recyclinghof Flingern,Flinger Broich 15 ,40233,Düsseldorf,https://www.awista-duesseldorf.de/de/content/1020/recyclinghoefe.htm,mail@awista.de,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:00,7:00,,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:00,7:00,,Heiligabend  Silvester  Rosenmontag geschlossen,6.8205278,51.2257837
Nordrhein-Westfalen,Düsseldorf,AWISTA Gesellschaft für Abfallwirtschaft und Stadtreinigung mbH,Recyclinghof Garath,Frankfurter Straße 253 ,40595, Düsseldorf,https://www.awista-duesseldorf.de/de/content/1020/recyclinghoefe.htm,mail@awista.de,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,14:00,5:00,,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,14:00,5:00,,Heiligabend Silvester Rosenmontag geschlossen,6.9032933,51.1408238
Nordrhein-Westfalen,Düsseldorf,AWISTA Gesellschaft für Abfallwirtschaft und Stadtreinigung mbH,Recyclinghof Lohausen,Niederrheinstraße 229 ,40474,Düsseldorf,https://www.awista-duesseldorf.de/de/content/1020/recyclinghoefe.htm,mail@awista.de,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,14:00,5:00,,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,16:30,7:30,9:00,14:00,5:00,,Heiligabend Silvester Rosenmontag geschlossen,6.7401454,51.2836335
Nordrhein-Westfalen,Duisburg,Wirtschaftsbetriebe Duisburg - AöR,Recyclingzentrum Nord,Im Holtkamp 84,47167,Duisburg-Röttgersbach,https://www.wb-duisburg.de/unternehmen/adressen-und-oeffnungszeiten.php,info@wb-duisburg.de,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,,Aufgrund der betrieblichen Abläufe ist samstags bereits um 17.45 Uhr Annahmeschluss; Umlade: Mo. bis Fr. 8.00 - 18.00 Uhr / Sa. 8.00 - 15.00 Uhr,6.7778454,51.5043653
Nordrhein-Westfalen,Duisburg,Wirtschaftsbetriebe Duisburg - AöR,Recyclinghof Mitte,Zur Kupferhütte 10,47053,Duisburg-Hochfeld ,https://www.wb-duisburg.de/unternehmen/adressen-und-oeffnungszeiten.php,info@wb-duisburg.de,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,,Aufgrund der betrieblichen Abläufe ist samstags bereits um 17.45 Uhr Annahmeschluss; Umlade: Mo. bis Fr. 8.00 - 18.00 Uhr / Sa. 8.00 - 15.00 Uhr,6.7443761,51.4220785
Nordrhein-Westfalen,Duisburg,Wirtschaftsbetriebe Duisburg - AöR,Recyclinghof Süd,Kaiserswerther Straße 210-212,47259,Duisburg,https://www.wb-duisburg.de/unternehmen/adressen-und-oeffnungszeiten.php,info@wb-duisburg.de,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,,Aufgrund der betrieblichen Abläufe ist samstags bereits um 17.45 Uhr Annahmeschluss,6.74258,51.37211
Nordrhein-Westfalen,Duisburg,Wirtschaftsbetriebe Duisburg - AöR,Recyclinghof West,Schauenstr. 40,47228,Duisburg,https://www.wb-duisburg.de/unternehmen/adressen-und-oeffnungszeiten.php,info@wb-duisburg.de,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,,Aufgrund der betrieblichen Abläufe ist samstags bereits um 17.45 Uhr Annahmeschluss,6.69465,51.41905
Nordrhein-Westfalen,Essen,Entsorgungsbetriebe Essen GmbH,Recyclinghof Altenessen,Lierfeldstraße 49,45326,Essen,http://www.ebe-essen.de/gewerbe/gewerbe-unterseite-1/,info@ebe-essen.de,7:00,19:00,12:00,7:00,19:00,12:00,7:00,19:00,12:00,7:00,19:00,12:00,7:00,19:00,12:00,7:00,15:00,8:00,,7:00,19:00,12:00,7:00,19:00,12:00,7:00,19:00,12:00,7:00,19:00,12:00,7:00,19:00,12:00,7:00,15:00,8:00,,,7.01291,51.48451
Nordrhein-Westfalen,Essen,Entsorgungsbetriebe Essen GmbH,Recyclinghof Werden,Laupendahler Landstraße 142-144,45239,Essen,http://www.ebe-essen.de/gewerbe/gewerbe-unterseite-1/,info@ebe-essen.de,8:00,15:00,7:00,8:00,15:00,7:00,8:00,15:00,7:00,8:00,18:00,10:00,8:00,15:00,7:00,8:00,14:00,6:00,,8:00,15:00,7:00,8:00,15:00,7:00,8:00,15:00,7:00,8:00,18:00,10:00,8:00,15:00,7:00,8:00,14:00,6:00,,jeden letzten Sa im Monat  von 8.00 Uhr – 14.00 Uhr (außer vor und nach Feiertagen),6.98897,51.37864
